Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
PGHL,Procter & Gamble Health Ltd.,6784,INR,1.0425975573428656,5453,0.3704861229065462,111607609129,INR,34.44686479707121,196.941,INR,4.595786129417907,2.30531263013862,Health technology,No rating
MARKSANS,Marksans Pharma Limited,263.4,INR,6.942752740560278,2396136,1.4415018393445864,111591575241,INR,28.559037189634605,9.223,INR,9.821152151651564,0.324873096446701,Health technology,Strong buy
EDELWEISS,Edelweiss Financial Services Limited,116.91,INR,-0.09400102546573187,2138758,0.9463921674288588,110838850814,INR,18.71877801972589,6.2456,INR,43.60672323009357,1.28095644748079,Finance,No rating
IEX,Indian Energy Exchange Ltd.,126.77,INR,2.01995815226138,14091109,2.0869191009128585,110792824066,INR,22.27317450277602,5.6916,INR,11.854413961166578,2.8169014084507,Finance,Neutral
GODREJAGRO,Godrej Agrovet Limited,574.35,INR,0.1307531380753138,85033,0.930597781002598,110424238484,INR,23.364752114360567,24.5819,INR,9.980224775403569,1.91620938942601,Process industries,Strong buy
TITAGARH,Titagarh Rail Systems Ltd,816.1,INR,-0.40881078772347584,250928,0.6146703906947006,110398820572,INR,64.86662639493848,12.5812,INR,-38.354647459454156,0.121988411100945,Producer manufacturing,Strong buy
VIYASH,Viyash Scientific Limited,259.7,INR,3.507373455559977,1323745,1.1253108377427834,109552269806,INR,81.66666666666666,3.18,INR,264.6788990825689,0,Health technology,Strong buy
OLECTRA,Olectra Greentech Limited,1328.1,INR,-0.6136346628751064,221480,0.7262396538393183,109516219677,INR,61.428948062219874,21.6201,INR,27.77308267388465,0.0299793891699457,Consumer durables,No rating
AAVAS,Aavas Financiers Ltd.,1390.6,INR,0.8411892675852,20553,0.20053663772075325,109381461821,INR,16.1397400185701,86.16,INR,16.70052824055262,0,Finance,Buy
TI,Tilaknagar Industries Limited,446.7,INR,1.1090991398822945,404982,1.757935042064218,109358704715,INR,227.90816326530611,1.96,INR,-83.38983050847457,0.226295541977823,Consumer non-durables,Strong buy
FIRSTCRY,Brainbees Solutions Limited,213.51,INR,2.5012001920307148,525785,0.6379254722123846,108803189538,INR,,-2.9055,INR,23.250653776051983,0,Retail trade,Buy
CANFINHOME,Can Fin Homes Ltd.,812.8,INR,-0.1351517385428213,373838,1.2552338063429536,108414466191,INR,9.580228520510035,84.8414,INR,28.171218452483465,1.59665929746991,Finance,Strong buy
SIGNATURE,Signatureglobal (India) Limited,790.8,INR,2.9218455131125047,373293,0.37121877795629143,108215699960,INR,10.160880609652835,77.8279,INR,981.8445927161523,0,Finance,Strong buy
SANOFICONR,Sanofi Consumer Healthcare India Limited,4685.2,INR,0.2246133441718185,4106,0.8398960868942664,107822460844,INR,41.839128497347325,111.9813,INR,53.14854881194322,1.60198218595809,Health technology,Strong buy
AKUMS,Akums Drugs and Pharmaceuticals Limited,675.6,INR,-1.7023134002618845,178763,0.6248114779395548,107720445078,INR,40.53324373942572,16.6678,INR,-25.470398855303166,0,Health technology,Strong buy
BLUEJET,Blue Jet Healthcare Limited,576.05,INR,1.6140412771211814,509908,0.8100523070480593,107253077647,INR,40.32015342726554,14.2869,INR,-18.799056523345367,0.211770934439248,Health technology,Neutral
RATEGAIN,RateGain Travel Technologies Ltd.,905.8,INR,0.5997334517991978,189729,0.5076687198642856,106719196283,INR,55.079231882471696,16.4454,INR,-6.481586788890664,0,Technology services,Strong buy
IIFLCAPS,IIFL Capital Services Ltd,337.7,INR,-0.7348618459729571,1132308,2.913531783852103,106447812607,INR,19.475201845444058,17.34,INR,-20.275862068965516,0.88339222614841,Finance,No rating
JLHL,Jupiter Life Line Hospitals Ltd.,327,INR,1.1757425742574292,147567,0.755197751504848,106315310128,INR,55.25515376816492,5.918,INR,0.2710945442222978,0.0616712920135677,Health services,Strong buy
MGL,Mahanagar Gas Ltd,1098,INR,1.9498607242339834,98882,0.8827544094422816,106275006226,INR,12.907017750088164,85.07,INR,-19.24590272866643,2.78836323078353,Utilities,Buy
E2E,E2E Networks Ltd,542.5,INR,4.993226243468154,429556,0.20479677844935795,106176567780,INR,372.4171071600192,1.4567,INR,-23.536822214057,0,Technology services,Strong buy
KTKBANK,Karnataka Bank Ltd.,285.55,INR,2.091526635681095,3550008,1.8908698887372053,105824090262,INR,8.250505634209766,34.61,INR,2.975304968759298,1.78699070764832,Finance,Strong buy
INDIAMART,IndiaMART InterMESH Ltd.,1759.7,INR,-0.01136428206148335,119934,0.6763116670444819,105722635339,INR,21.49813813931214,81.8536,INR,-16.63380373496724,1.70663025855448,Retail trade,Neutral
